"type","count_1","rate_1","count_2","rate_2","count_3","rate_3","count_4","rate_4","count_5","rate_5","count_6","rate_6","count_7","rate_7","count_8","rate_8","count_9","rate_9","count_10","rate_10","count_11","rate_11","count_12","rate_12","count_13","rate_13","count_14","rate_14","count_15","rate_15","count_16","rate_16"
"True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives","True Positives"
"FF_0","6932","0.397431487214769","6105","0.350017199862401","4049","0.23214080954019","2813","0.161277376447655","2292","0.153629599839131","2044","0.223168468173381","638","0.209180327868852","248","0.21830985915493","98","0.221719457013575","24","0.16","19","0.283582089552239","7","0.291666666666667","1","0.125","0","0","0","0","0","0"
"FF_1","0","0","0","0","2433","0.139490884072927","3428","0.196537094369912","2524","0.169180239962464","829","0.0905120646358773","293","0.0960655737704918","124","0.109154929577465","55","0.124434389140271","27","0.18","10","0.149253731343284","2","0.0833333333333333","1","0.125","1","0.5","0","0","0","0"
"SL_0","2392","0.137140236211444","2818","0.161564040821007","2134","0.122348354546497","1841","0.105549822268089","1804","0.120919632683156","1523","0.166284528878699","501","0.164262295081967","170","0.149647887323944","70","0.158371040723982","13","0.0866666666666667","4","0.0597014925373134","2","0.0833333333333333","1","0.125","0","0","0","0","0","0"
"SI_0","3187","0.182719871574361","2721","0.156002751977984","1795","0.102912510033253","1124","0.0644421511294576","978","0.0655539915543937","1003","0.109509771809149","257","0.0842622950819672","89","0.0783450704225352","29","0.0656108597285068","10","0.0666666666666667","3","0.0447761194029851","1","0.0416666666666667","0","0","0","0","1","0.5","0","0"
"CH_0","1227","0.0703474372205022","2097","0.120227038183695","1136","0.0651301456255017","803","0.0460382983602798","1041","0.0697767946913332","655","0.0715143574626051","288","0.0944262295081967","109","0.0959507042253521","50","0.113122171945701","17","0.113333333333333","9","0.134328358208955","1","0.0416666666666667","1","0.125","0","0","1","0.5","0","0"
"CU_0","1679","0.0962618965714941","1471","0.0843366586400642","986","0.0565302144249513","836","0.0479302832244009","954","0.0639453046450835","659","0.0719510863631401","196","0.0642622950819672","63","0.0554577464788732","28","0.0633484162895928","11","0.0733333333333333","4","0.0597014925373134","2","0.0833333333333333","0","0","0","0","0","0","0","0"
"SL_1","0","0","0","0","971","0.0556702213048962","1539","0.0882352941176471","1151","0.077149943025672","380","0.0414892455508243","131","0.0429508196721312","58","0.051056338028169","15","0.0339366515837104","6","0.04","1","0.0149253731343284","0","0","0","0","1","0.5","0","0","0","0"
"FC_0","1116","0.0639834881320949","1168","0.0669647976149524","764","0.0438023162481367","462","0.0264877880976952","470","0.0315034519739929","362","0.0395239654984169","121","0.039672131147541","51","0.0448943661971831","23","0.0520361990950226","10","0.0666666666666667","4","0.0597014925373134","3","0.125","2","0.25","0","0","0","0","0","0"
"SI_1","0","0","0","0","688","0.0394450177731911","1043","0.0597981882811604","801","0.0536899255982304","311","0.0339556720165957","98","0.0321311475409836","44","0.0387323943661972","14","0.0316742081447964","8","0.0533333333333333","1","0.0149253731343284","0","0","0","0","0","0","0","0","0","0"
